nome_giocatore,nome,cognome,squadra,piede,numero
cannavo,Kevin,Cannavò,vispesaro,destro,34
dipaola,Manuel,Di Paola,vispesaro,destro,10
molina,Juan Ignacio,Molina,vispesaro,destro,11
nicastro,Francesco,Nicastro,vispesaro,sinistro,9
okoro,Alvin Obinna,Okoro,vispesaro,destro,90
orellana,Marcelo,Orellana,vispesaro,sinistro,30
