nome_giocatore,nome,cognome,squadra,piede,numero
antenucci,Mirco,Antenucci,spal,destro,7
arena,Matteo,Arena,spal,destro,23
dorazio,Ludovico,D'Orazio,spal,destro,33
karlsson,Ottar Magnus,Karlsson,spal,sinistro,9
radrezza,Igor,Radrezza,spal,sinistro,10
