nome_giocatore,nome,cognome,squadra,piede,numero
damore,Francesco,D'Amore,legnago,sinistro,28
demirovic,Elian,Demirovic,legnago,sinistro,10
franzolini,Andrea,Franzolini,legnago,destro,93
palazzino,Filippo,Palazzino,legnago,destro,7
rossi,Alessandro,Rossi,legnago,destro,18
svidercoschi,Sebastiano,Svidercoschi,legnago,destro,9
