nome_giocatore,nome,cognome,squadra,piede,numero
corona,Giacomo,Corona,pontedera,destro,14
guidi,Matteo,Guidi,pontedera,destro,18
ianesi,Simone,Ianesi,pontedera,destro,11
italeng,Jonathan,Italeng,pontedera,destro,9
ladinetti,Riccardo,Ladinetti,pontedera,destro,27
ragatzu,Daniele,Ragatzu,pontedera,destro,10
