nome_giocatore,nome,cognome,squadra,piede,numero
casarotto,Matteo,Casarotto,entella,Sinistro,10
castelli,Davide,Castelli,entella,Destro,9
dinoia,Giovanni,Di Noia,entella,Sinistro,47
santini,Claudio,Santini,entella,Destro,29
