nome_giocatore,nome,cognome,squadra,piede,numero
cernigoi,Iacopo,Cernigoi,rimini,destro,9
cioffi,Antonio,Cioffi,rimini,destro,77
devitis,Alessandro,De Vitis,rimini,destro,30
dobrev,Kristian,Dobrev,rimini,sinistro,29
fiorini,Mattia,Fiorini,rimini,destro,5
langella,Christian,Langella,rimini,destro,33
lombardi,Alessandro,Lombardi,rimini,destro,25
parigi,Giacomo,Parigi,rimini,destro,97
piccoli,Marco,Piccoli,rimini,sinistro,21
ubaldi,Leonardo,Ubaldi,rimini,destro,34
