nome_giocatore,nome,cognome,squadra,piede,numero
dimassimo,Alessio,Di Massimo,gubbio,destro,10
dursi,Eugenio,D'Ursi,gubbio,destro,7
maisto,Francesco,Maisto,gubbio,sinistro,28
rovaglia,Pietro,Rovaglia,gubbio,destro,11
tommasini,Christian,Tommasini,gubbio,destro,9
