nome_giocatore,nome,cognome,squadra,piede,numero
conti,Francesco,Conti,levante,Destro,8
defelice,Francesco,De Felice,levante,Destro,11
giorno,-,Giorno,levante,Destro,28
oneto,Edoardo,Oneto,levante,Destro,14
pane,Massimiliano,Pane,levante,Destro,4
parravicini,Nicolas,Parravicini,levante,Destro,9
