nome_giocatore,nome,cognome,squadra,piede,numero
costantino,Rocco,Costantino,lucchese,Destro,90
fedato,Francesco,Fedato,lucchese,Destro,19
magnaghi,Simone,Magnaghi,lucchese,Destro,9
sasanelli,Luca,Sasanelli,lucchese,Destro,18
selvini,Alessandro,Selvini,lucchese,Destro,10
