nome_giocatore,nome,cognome,squadra,piede,numero
diakite,Adama,Diakite,torres,destro,11
fischnaller,Manuel,Fischnaller,torres,destro,20
liviero,Matteo,Liviero,torres,sinistro,7
mercadante,Mario,Mercadante,torres,sinistro,3
scotto,Luigi,Scotto,torres,destro,9
varela,Djamanca Muahamed,Varela,torres,destro,70
