nome_giocatore,nome,cognome,squadra,piede,numero
lisi,Francesco,Lisi,perugia,Destro,23
marconi,Giacomo,Marconi,perugia,Destro,30
montevago,Daniele,Montevago,perugia,Destro,9
palsson,Adam Ægir,Palsson,perugia,Destro,19
ricci,Federico,Ricci,perugia,Sinistro,20
seghetti,Alessandro,Seghetti,perugia,Destro,11
sylla,Youssouph Cheikh,Sylla,perugia,Destro,45
