nome_giocatore,nome,cognome,squadra,piede,numero
alesi,Gabriele,Alesi,milan,Destro,8
bartesaghi,Davide,Bartesaghi,milan,Sinistro,4
camarda,Francesco,Camarda,milan,Destro,9
coubis,Andrei,Coubis,milan,Destro,15
liberali,Mattia,Liberali,milan,Sinistro,10
longo,Samuele,Longo,milan,Destro,7
sandri,Mattia,Sandri,milan,Sinistro,21
traore,Chaka,Traore,milan,Destro,28
vos,Silvano,Vos,milan,Destro,55
zeroli,Kevin,Zeroli,milan,Destro,18
