nome_giocatore,nome,cognome,squadra,piede,numero
bentivegna,Accursio,Bentivegna,pescara,Destro,20
ferraris,Andrea,Ferraris,pescara,Destro,21
merola,Davide,Merola,pescara,Sinistro,10
tunjov,Georgi,Tunjov,pescara,Sinistro,17
vergani,Edoardo,Vergnai,pescara,Destro,9
