nome_giocatore,nome,cognome,squadra,piede,numero
alagna,Manuel,Alagna,ascoli,Destro,23
bertini,Marco,Bertini,ascoli,Destro,5
corazza,Simone,Corazza,ascoli,Destro,18
cozzoli,Francesco,Cozzoli,ascoli,Sinistro,27
marsura,Davide,Marsura,ascoli,Destro,10
tirelli,Mattia,Tirelli,ascoli,Destro,11
